date,name,localName,countryCode,types,global
2006-01-02,New Year's Day,New Year's Day,US,Public,True
2006-01-16,"Martin Luther King, Jr. Day","Martin Luther King, Jr. Day",US,Public,True
2006-02-12,Lincoln's Birthday,Lincoln's Birthday,US,Observance,False
2006-02-20,Presidents Day,Washington's Birthday,US,Public,True
2006-04-14,Good Friday,Good Friday,US,Public,False
2006-04-14,Good Friday,Good Friday,US,Optional,False
2006-05-08,Truman Day,Truman Day,US,School|Authorities,False
2006-05-29,Memorial Day,Memorial Day,US,Public,True
2006-07-04,Independence Day,Independence Day,US,Public,True
2006-09-04,Labour Day,Labor Day,US,Public,True
2006-10-09,Columbus Day,Columbus Day,US,Public,False
2006-10-09,Indigenous Peoples' Day,Indigenous Peoples' Day,US,Public,False
2006-11-10,Veterans Day,Veterans Day,US,Public,True
2006-11-23,Thanksgiving Day,Thanksgiving Day,US,Public,True
2006-12-25,Christmas Day,Christmas Day,US,Public,True
2007-01-01,New Year's Day,New Year's Day,US,Public,True
2007-01-15,"Martin Luther King, Jr. Day","Martin Luther King, Jr. Day",US,Public,True
2007-02-12,Lincoln's Birthday,Lincoln's Birthday,US,Observance,False
2007-02-19,Presidents Day,Washington's Birthday,US,Public,True
2007-04-06,Good Friday,Good Friday,US,Public,False
2007-04-06,Good Friday,Good Friday,US,Optional,False
2007-05-08,Truman Day,Truman Day,US,School|Authorities,False
2007-05-28,Memorial Day,Memorial Day,US,Public,True
2007-07-04,Independence Day,Independence Day,US,Public,True
2007-09-03,Labour Day,Labor Day,US,Public,True
2007-10-08,Columbus Day,Columbus Day,US,Public,False
2007-10-08,Indigenous Peoples' Day,Indigenous Peoples' Day,US,Public,False
2007-11-12,Veterans Day,Veterans Day,US,Public,True
2007-11-22,Thanksgiving Day,Thanksgiving Day,US,Public,True
2007-12-25,Christmas Day,Christmas Day,US,Public,True
2008-01-01,New Year's Day,New Year's Day,US,Public,True
2008-01-21,"Martin Luther King, Jr. Day","Martin Luther King, Jr. Day",US,Public,True
2008-02-12,Lincoln's Birthday,Lincoln's Birthday,US,Observance,False
2008-02-18,Presidents Day,Washington's Birthday,US,Public,True
2008-03-21,Good Friday,Good Friday,US,Public,False
2008-03-21,Good Friday,Good Friday,US,Optional,False
2008-05-08,Truman Day,Truman Day,US,School|Authorities,False
2008-05-26,Memorial Day,Memorial Day,US,Public,True
2008-07-04,Independence Day,Independence Day,US,Public,True
2008-09-01,Labour Day,Labor Day,US,Public,True
2008-10-13,Columbus Day,Columbus Day,US,Public,False
2008-10-13,Indigenous Peoples' Day,Indigenous Peoples' Day,US,Public,False
2008-11-11,Veterans Day,Veterans Day,US,Public,True
2008-11-27,Thanksgiving Day,Thanksgiving Day,US,Public,True
2008-12-25,Christmas Day,Christmas Day,US,Public,True
2009-01-01,New Year's Day,New Year's Day,US,Public,True
2009-01-19,"Martin Luther King, Jr. Day","Martin Luther King, Jr. Day",US,Public,True
2009-02-12,Lincoln's Birthday,Lincoln's Birthday,US,Observance,False
2009-02-16,Presidents Day,Washington's Birthday,US,Public,True
2009-04-10,Good Friday,Good Friday,US,Public,False
2009-04-10,Good Friday,Good Friday,US,Optional,False
2009-05-08,Truman Day,Truman Day,US,School|Authorities,False
2009-05-25,Memorial Day,Memorial Day,US,Public,True
2009-07-03,Independence Day,Independence Day,US,Public,True
2009-09-07,Labour Day,Labor Day,US,Public,True
2009-10-12,Columbus Day,Columbus Day,US,Public,False
2009-10-12,Indigenous Peoples' Day,Indigenous Peoples' Day,US,Public,False
2009-11-11,Veterans Day,Veterans Day,US,Public,True
2009-11-26,Thanksgiving Day,Thanksgiving Day,US,Public,True
2009-12-25,Christmas Day,Christmas Day,US,Public,True
2010-01-01,New Year's Day,New Year's Day,US,Public,True
2010-01-18,"Martin Luther King, Jr. Day","Martin Luther King, Jr. Day",US,Public,True
2010-02-12,Lincoln's Birthday,Lincoln's Birthday,US,Observance,False
2010-02-15,Presidents Day,Washington's Birthday,US,Public,True
2010-04-02,Good Friday,Good Friday,US,Public,False
2010-04-02,Good Friday,Good Friday,US,Optional,False
2010-05-08,Truman Day,Truman Day,US,School|Authorities,False
2010-05-31,Memorial Day,Memorial Day,US,Public,True
2010-07-05,Independence Day,Independence Day,US,Public,True
2010-09-06,Labour Day,Labor Day,US,Public,True
2010-10-11,Columbus Day,Columbus Day,US,Public,False
2010-10-11,Indigenous Peoples' Day,Indigenous Peoples' Day,US,Public,False
2010-11-11,Veterans Day,Veterans Day,US,Public,True
2010-11-25,Thanksgiving Day,Thanksgiving Day,US,Public,True
2010-12-24,Christmas Day,Christmas Day,US,Public,True
2010-12-31,New Year's Day,New Year's Day,US,Public,True
2011-01-17,"Martin Luther King, Jr. Day","Martin Luther King, Jr. Day",US,Public,True
2011-02-12,Lincoln's Birthday,Lincoln's Birthday,US,Observance,False
2011-02-21,Presidents Day,Washington's Birthday,US,Public,True
2011-04-22,Good Friday,Good Friday,US,Public,False
2011-04-22,Good Friday,Good Friday,US,Optional,False
2011-05-08,Truman Day,Truman Day,US,School|Authorities,False
2011-05-30,Memorial Day,Memorial Day,US,Public,True
2011-07-04,Independence Day,Independence Day,US,Public,True
2011-09-05,Labour Day,Labor Day,US,Public,True
2011-10-10,Columbus Day,Columbus Day,US,Public,False
2011-10-10,Indigenous Peoples' Day,Indigenous Peoples' Day,US,Public,False
2011-11-11,Veterans Day,Veterans Day,US,Public,True
2011-11-24,Thanksgiving Day,Thanksgiving Day,US,Public,True
2011-12-26,Christmas Day,Christmas Day,US,Public,True
2012-01-02,New Year's Day,New Year's Day,US,Public,True
2012-01-16,"Martin Luther King, Jr. Day","Martin Luther King, Jr. Day",US,Public,True
2012-02-12,Lincoln's Birthday,Lincoln's Birthday,US,Observance,False
2012-02-20,Presidents Day,Washington's Birthday,US,Public,True
2012-04-06,Good Friday,Good Friday,US,Public,False
2012-04-06,Good Friday,Good Friday,US,Optional,False
2012-05-08,Truman Day,Truman Day,US,School|Authorities,False
2012-05-28,Memorial Day,Memorial Day,US,Public,True
2012-07-04,Independence Day,Independence Day,US,Public,True
2012-09-03,Labour Day,Labor Day,US,Public,True
2012-10-08,Columbus Day,Columbus Day,US,Public,False
2012-10-08,Indigenous Peoples' Day,Indigenous Peoples' Day,US,Public,False
2012-11-12,Veterans Day,Veterans Day,US,Public,True
2012-11-22,Thanksgiving Day,Thanksgiving Day,US,Public,True
2012-12-25,Christmas Day,Christmas Day,US,Public,True
2013-01-01,New Year's Day,New Year's Day,US,Public,True
2013-01-21,"Martin Luther King, Jr. Day","Martin Luther King, Jr. Day",US,Public,True
2013-02-12,Lincoln's Birthday,Lincoln's Birthday,US,Observance,False
2013-02-18,Presidents Day,Washington's Birthday,US,Public,True
2013-03-29,Good Friday,Good Friday,US,Public,False
2013-03-29,Good Friday,Good Friday,US,Optional,False
2013-05-08,Truman Day,Truman Day,US,School|Authorities,False
2013-05-27,Memorial Day,Memorial Day,US,Public,True
2013-07-04,Independence Day,Independence Day,US,Public,True
2013-09-02,Labour Day,Labor Day,US,Public,True
2013-10-14,Columbus Day,Columbus Day,US,Public,False
2013-10-14,Indigenous Peoples' Day,Indigenous Peoples' Day,US,Public,False
2013-11-11,Veterans Day,Veterans Day,US,Public,True
2013-11-28,Thanksgiving Day,Thanksgiving Day,US,Public,True
2013-12-25,Christmas Day,Christmas Day,US,Public,True
2014-01-01,New Year's Day,New Year's Day,US,Public,True
2014-01-20,"Martin Luther King, Jr. Day","Martin Luther King, Jr. Day",US,Public,True
2014-02-12,Lincoln's Birthday,Lincoln's Birthday,US,Observance,False
2014-02-17,Presidents Day,Washington's Birthday,US,Public,True
2014-04-18,Good Friday,Good Friday,US,Public,False
2014-04-18,Good Friday,Good Friday,US,Optional,False
2014-05-08,Truman Day,Truman Day,US,School|Authorities,False
2014-05-26,Memorial Day,Memorial Day,US,Public,True
2014-07-04,Independence Day,Independence Day,US,Public,True
2014-09-01,Labour Day,Labor Day,US,Public,True
2014-10-13,Columbus Day,Columbus Day,US,Public,False
2014-10-13,Indigenous Peoples' Day,Indigenous Peoples' Day,US,Public,False
2014-11-11,Veterans Day,Veterans Day,US,Public,True
2014-11-27,Thanksgiving Day,Thanksgiving Day,US,Public,True
2014-12-25,Christmas Day,Christmas Day,US,Public,True
2015-01-01,New Year's Day,New Year's Day,US,Public,True
2015-01-19,"Martin Luther King, Jr. Day","Martin Luther King, Jr. Day",US,Public,True
2015-02-12,Lincoln's Birthday,Lincoln's Birthday,US,Observance,False
2015-02-16,Presidents Day,Washington's Birthday,US,Public,True
2015-04-03,Good Friday,Good Friday,US,Public,False
2015-04-03,Good Friday,Good Friday,US,Optional,False
2015-05-08,Truman Day,Truman Day,US,School|Authorities,False
2015-05-25,Memorial Day,Memorial Day,US,Public,True
2015-07-03,Independence Day,Independence Day,US,Public,True
2015-09-07,Labour Day,Labor Day,US,Public,True
2015-10-12,Columbus Day,Columbus Day,US,Public,False
2015-10-12,Indigenous Peoples' Day,Indigenous Peoples' Day,US,Public,False
2015-11-11,Veterans Day,Veterans Day,US,Public,True
2015-11-26,Thanksgiving Day,Thanksgiving Day,US,Public,True
2015-12-25,Christmas Day,Christmas Day,US,Public,True
2016-01-01,New Year's Day,New Year's Day,US,Public,True
2016-01-18,"Martin Luther King, Jr. Day","Martin Luther King, Jr. Day",US,Public,True
2016-02-12,Lincoln's Birthday,Lincoln's Birthday,US,Observance,False
2016-02-15,Presidents Day,Washington's Birthday,US,Public,True
2016-03-25,Good Friday,Good Friday,US,Public,False
2016-03-25,Good Friday,Good Friday,US,Optional,False
2016-05-08,Truman Day,Truman Day,US,School|Authorities,False
2016-05-30,Memorial Day,Memorial Day,US,Public,True
2016-07-04,Independence Day,Independence Day,US,Public,True
2016-09-05,Labour Day,Labor Day,US,Public,True
2016-10-10,Columbus Day,Columbus Day,US,Public,False
2016-10-10,Indigenous Peoples' Day,Indigenous Peoples' Day,US,Public,False
2016-11-11,Veterans Day,Veterans Day,US,Public,True
2016-11-24,Thanksgiving Day,Thanksgiving Day,US,Public,True
2016-12-26,Christmas Day,Christmas Day,US,Public,True
2017-01-02,New Year's Day,New Year's Day,US,Public,True
2017-01-16,"Martin Luther King, Jr. Day","Martin Luther King, Jr. Day",US,Public,True
2017-02-12,Lincoln's Birthday,Lincoln's Birthday,US,Observance,False
2017-02-20,Presidents Day,Washington's Birthday,US,Public,True
2017-04-14,Good Friday,Good Friday,US,Public,False
2017-04-14,Good Friday,Good Friday,US,Optional,False
2017-05-08,Truman Day,Truman Day,US,School|Authorities,False
2017-05-29,Memorial Day,Memorial Day,US,Public,True
2017-07-04,Independence Day,Independence Day,US,Public,True
2017-09-04,Labour Day,Labor Day,US,Public,True
2017-10-09,Columbus Day,Columbus Day,US,Public,False
2017-10-09,Indigenous Peoples' Day,Indigenous Peoples' Day,US,Public,False
2017-11-10,Veterans Day,Veterans Day,US,Public,True
2017-11-23,Thanksgiving Day,Thanksgiving Day,US,Public,True
2017-12-25,Christmas Day,Christmas Day,US,Public,True
2018-01-01,New Year's Day,New Year's Day,US,Public,True
2018-01-15,"Martin Luther King, Jr. Day","Martin Luther King, Jr. Day",US,Public,True
2018-02-12,Lincoln's Birthday,Lincoln's Birthday,US,Observance,False
2018-02-19,Presidents Day,Washington's Birthday,US,Public,True
2018-03-30,Good Friday,Good Friday,US,Public,False
2018-03-30,Good Friday,Good Friday,US,Optional,False
2018-05-08,Truman Day,Truman Day,US,School|Authorities,False
2018-05-28,Memorial Day,Memorial Day,US,Public,True
2018-07-04,Independence Day,Independence Day,US,Public,True
2018-09-03,Labour Day,Labor Day,US,Public,True
2018-10-08,Columbus Day,Columbus Day,US,Public,False
2018-10-08,Indigenous Peoples' Day,Indigenous Peoples' Day,US,Public,False
2018-11-12,Veterans Day,Veterans Day,US,Public,True
2018-11-22,Thanksgiving Day,Thanksgiving Day,US,Public,True
2018-12-25,Christmas Day,Christmas Day,US,Public,True
2019-01-01,New Year's Day,New Year's Day,US,Public,True
2019-01-21,"Martin Luther King, Jr. Day","Martin Luther King, Jr. Day",US,Public,True
2019-02-12,Lincoln's Birthday,Lincoln's Birthday,US,Observance,False
2019-02-18,Presidents Day,Washington's Birthday,US,Public,True
2019-04-19,Good Friday,Good Friday,US,Public,False
2019-04-19,Good Friday,Good Friday,US,Optional,False
2019-05-08,Truman Day,Truman Day,US,School|Authorities,False
2019-05-27,Memorial Day,Memorial Day,US,Public,True
2019-07-04,Independence Day,Independence Day,US,Public,True
2019-09-02,Labour Day,Labor Day,US,Public,True
2019-10-14,Columbus Day,Columbus Day,US,Public,False
2019-10-14,Indigenous Peoples' Day,Indigenous Peoples' Day,US,Public,False
2019-11-11,Veterans Day,Veterans Day,US,Public,True
2019-11-28,Thanksgiving Day,Thanksgiving Day,US,Public,True
2019-12-25,Christmas Day,Christmas Day,US,Public,True
2020-01-01,New Year's Day,New Year's Day,US,Public,True
2020-01-20,"Martin Luther King, Jr. Day","Martin Luther King, Jr. Day",US,Public,True
2020-02-12,Lincoln's Birthday,Lincoln's Birthday,US,Observance,False
2020-02-17,Presidents Day,Washington's Birthday,US,Public,True
2020-04-10,Good Friday,Good Friday,US,Public,False
2020-04-10,Good Friday,Good Friday,US,Optional,False
2020-05-08,Truman Day,Truman Day,US,School|Authorities,False
2020-05-25,Memorial Day,Memorial Day,US,Public,True
2020-07-03,Independence Day,Independence Day,US,Public,True
2020-09-07,Labour Day,Labor Day,US,Public,True
2020-10-12,Columbus Day,Columbus Day,US,Public,False
2020-10-12,Indigenous Peoples' Day,Indigenous Peoples' Day,US,Public,False
2020-11-11,Veterans Day,Veterans Day,US,Public,True
2020-11-26,Thanksgiving Day,Thanksgiving Day,US,Public,True
2020-12-25,Christmas Day,Christmas Day,US,Public,True
2021-01-01,New Year's Day,New Year's Day,US,Public,True
2021-01-18,"Martin Luther King, Jr. Day","Martin Luther King, Jr. Day",US,Public,True
2021-02-12,Lincoln's Birthday,Lincoln's Birthday,US,Observance,False
2021-02-15,Presidents Day,Washington's Birthday,US,Public,True
2021-04-02,Good Friday,Good Friday,US,Public,False
2021-04-02,Good Friday,Good Friday,US,Optional,False
2021-05-08,Truman Day,Truman Day,US,School|Authorities,False
2021-05-31,Memorial Day,Memorial Day,US,Public,True
2021-06-18,Juneteenth National Independence Day,Juneteenth National Independence Day,US,Public,True
2021-07-05,Independence Day,Independence Day,US,Public,True
2021-09-06,Labour Day,Labor Day,US,Public,True
2021-10-11,Columbus Day,Columbus Day,US,Public,False
2021-10-11,Indigenous Peoples' Day,Indigenous Peoples' Day,US,Public,False
2021-11-11,Veterans Day,Veterans Day,US,Public,True
2021-11-25,Thanksgiving Day,Thanksgiving Day,US,Public,True
2021-12-24,Christmas Day,Christmas Day,US,Public,True
2021-12-31,New Year's Day,New Year's Day,US,Public,True
2022-01-17,"Martin Luther King, Jr. Day","Martin Luther King, Jr. Day",US,Public,True
2022-02-12,Lincoln's Birthday,Lincoln's Birthday,US,Observance,False
2022-02-21,Presidents Day,Washington's Birthday,US,Public,True
2022-04-15,Good Friday,Good Friday,US,Public,False
2022-04-15,Good Friday,Good Friday,US,Optional,False
2022-05-08,Truman Day,Truman Day,US,School|Authorities,False
2022-05-30,Memorial Day,Memorial Day,US,Public,True
2022-06-20,Juneteenth National Independence Day,Juneteenth National Independence Day,US,Public,True
2022-07-04,Independence Day,Independence Day,US,Public,True
2022-09-05,Labour Day,Labor Day,US,Public,True
2022-10-10,Columbus Day,Columbus Day,US,Public,False
2022-10-10,Indigenous Peoples' Day,Indigenous Peoples' Day,US,Public,False
2022-11-11,Veterans Day,Veterans Day,US,Public,True
2022-11-24,Thanksgiving Day,Thanksgiving Day,US,Public,True
2022-12-26,Christmas Day,Christmas Day,US,Public,True
2023-01-02,New Year's Day,New Year's Day,US,Public,True
2023-01-16,"Martin Luther King, Jr. Day","Martin Luther King, Jr. Day",US,Public,True
2023-02-12,Lincoln's Birthday,Lincoln's Birthday,US,Observance,False
2023-02-20,Presidents Day,Washington's Birthday,US,Public,True
2023-04-07,Good Friday,Good Friday,US,Public,False
2023-04-07,Good Friday,Good Friday,US,Optional,False
2023-05-08,Truman Day,Truman Day,US,School|Authorities,False
2023-05-29,Memorial Day,Memorial Day,US,Public,True
2023-06-19,Juneteenth National Independence Day,Juneteenth National Independence Day,US,Public,True
2023-07-04,Independence Day,Independence Day,US,Public,True
2023-09-04,Labour Day,Labor Day,US,Public,True
2023-10-09,Columbus Day,Columbus Day,US,Public,False
2023-10-09,Indigenous Peoples' Day,Indigenous Peoples' Day,US,Public,False
2023-11-10,Veterans Day,Veterans Day,US,Public,True
2023-11-23,Thanksgiving Day,Thanksgiving Day,US,Public,True
2023-12-25,Christmas Day,Christmas Day,US,Public,True
2024-01-01,New Year's Day,New Year's Day,US,Public,True
2024-01-15,"Martin Luther King, Jr. Day","Martin Luther King, Jr. Day",US,Public,True
2024-02-12,Lincoln's Birthday,Lincoln's Birthday,US,Observance,False
2024-02-19,Presidents Day,Washington's Birthday,US,Public,True
2024-03-29,Good Friday,Good Friday,US,Public,False
2024-03-29,Good Friday,Good Friday,US,Optional,False
2024-05-08,Truman Day,Truman Day,US,School|Authorities,False
2024-05-27,Memorial Day,Memorial Day,US,Public,True
2024-06-19,Juneteenth National Independence Day,Juneteenth National Independence Day,US,Public,True
2024-07-04,Independence Day,Independence Day,US,Public,True
2024-09-02,Labour Day,Labor Day,US,Public,True
2024-10-14,Columbus Day,Columbus Day,US,Public,False
2024-10-14,Indigenous Peoples' Day,Indigenous Peoples' Day,US,Public,False
2024-11-11,Veterans Day,Veterans Day,US,Public,True
2024-11-28,Thanksgiving Day,Thanksgiving Day,US,Public,True
2024-12-25,Christmas Day,Christmas Day,US,Public,True
2025-01-01,New Year's Day,New Year's Day,US,Public,True
2025-01-20,"Martin Luther King, Jr. Day","Martin Luther King, Jr. Day",US,Public,True
2025-02-12,Lincoln's Birthday,Lincoln's Birthday,US,Observance,False
2025-02-17,Presidents Day,Washington's Birthday,US,Public,True
2025-04-18,Good Friday,Good Friday,US,Public,False
2025-04-18,Good Friday,Good Friday,US,Optional,False
2025-05-08,Truman Day,Truman Day,US,School|Authorities,False
2025-05-26,Memorial Day,Memorial Day,US,Public,True
2025-06-19,Juneteenth National Independence Day,Juneteenth National Independence Day,US,Public,True
2025-07-04,Independence Day,Independence Day,US,Public,True
2025-09-01,Labour Day,Labor Day,US,Public,True
2025-10-13,Columbus Day,Columbus Day,US,Public,False
2025-10-13,Indigenous Peoples' Day,Indigenous Peoples' Day,US,Public,False
2025-11-11,Veterans Day,Veterans Day,US,Public,True
2025-11-27,Thanksgiving Day,Thanksgiving Day,US,Public,True
2025-12-25,Christmas Day,Christmas Day,US,Public,True
2026-01-01,New Year's Day,New Year's Day,US,Public,True
2026-01-19,"Martin Luther King, Jr. Day","Martin Luther King, Jr. Day",US,Public,True
2026-02-12,Lincoln's Birthday,Lincoln's Birthday,US,Observance,False
2026-02-16,Presidents Day,Washington's Birthday,US,Public,True
2026-04-03,Good Friday,Good Friday,US,Public,False
2026-04-03,Good Friday,Good Friday,US,Optional,False
2026-05-08,Truman Day,Truman Day,US,School|Authorities,False
2026-05-25,Memorial Day,Memorial Day,US,Public,True
2026-06-19,Juneteenth National Independence Day,Juneteenth National Independence Day,US,Public,True
2026-07-03,Independence Day,Independence Day,US,Public,True
2026-09-07,Labour Day,Labor Day,US,Public,True
2026-10-12,Columbus Day,Columbus Day,US,Public,False
2026-10-12,Indigenous Peoples' Day,Indigenous Peoples' Day,US,Public,False
2026-11-11,Veterans Day,Veterans Day,US,Public,True
2026-11-26,Thanksgiving Day,Thanksgiving Day,US,Public,True
2026-12-25,Christmas Day,Christmas Day,US,Public,True
2027-01-01,New Year's Day,New Year's Day,US,Public,True
2027-01-18,"Martin Luther King, Jr. Day","Martin Luther King, Jr. Day",US,Public,True
2027-02-12,Lincoln's Birthday,Lincoln's Birthday,US,Observance,False
2027-02-15,Presidents Day,Washington's Birthday,US,Public,True
2027-03-26,Good Friday,Good Friday,US,Public,False
2027-03-26,Good Friday,Good Friday,US,Optional,False
2027-05-08,Truman Day,Truman Day,US,School|Authorities,False
2027-05-31,Memorial Day,Memorial Day,US,Public,True
2027-06-18,Juneteenth National Independence Day,Juneteenth National Independence Day,US,Public,True
2027-07-05,Independence Day,Independence Day,US,Public,True
2027-09-06,Labour Day,Labor Day,US,Public,True
2027-10-11,Columbus Day,Columbus Day,US,Public,False
2027-10-11,Indigenous Peoples' Day,Indigenous Peoples' Day,US,Public,False
2027-11-11,Veterans Day,Veterans Day,US,Public,True
2027-11-25,Thanksgiving Day,Thanksgiving Day,US,Public,True
2027-12-24,Christmas Day,Christmas Day,US,Public,True
2027-12-31,New Year's Day,New Year's Day,US,Public,True
2028-01-17,"Martin Luther King, Jr. Day","Martin Luther King, Jr. Day",US,Public,True
2028-02-12,Lincoln's Birthday,Lincoln's Birthday,US,Observance,False
2028-02-21,Presidents Day,Washington's Birthday,US,Public,True
2028-04-14,Good Friday,Good Friday,US,Public,False
2028-04-14,Good Friday,Good Friday,US,Optional,False
2028-05-08,Truman Day,Truman Day,US,School|Authorities,False
2028-05-29,Memorial Day,Memorial Day,US,Public,True
2028-06-19,Juneteenth National Independence Day,Juneteenth National Independence Day,US,Public,True
2028-07-04,Independence Day,Independence Day,US,Public,True
2028-09-04,Labour Day,Labor Day,US,Public,True
2028-10-09,Columbus Day,Columbus Day,US,Public,False
2028-10-09,Indigenous Peoples' Day,Indigenous Peoples' Day,US,Public,False
2028-11-10,Veterans Day,Veterans Day,US,Public,True
2028-11-23,Thanksgiving Day,Thanksgiving Day,US,Public,True
2028-12-25,Christmas Day,Christmas Day,US,Public,True
2029-01-01,New Year's Day,New Year's Day,US,Public,True
2029-01-15,"Martin Luther King, Jr. Day","Martin Luther King, Jr. Day",US,Public,True
2029-02-12,Lincoln's Birthday,Lincoln's Birthday,US,Observance,False
2029-02-19,Presidents Day,Washington's Birthday,US,Public,True
2029-03-30,Good Friday,Good Friday,US,Public,False
2029-03-30,Good Friday,Good Friday,US,Optional,False
2029-05-08,Truman Day,Truman Day,US,School|Authorities,False
2029-05-28,Memorial Day,Memorial Day,US,Public,True
2029-06-19,Juneteenth National Independence Day,Juneteenth National Independence Day,US,Public,True
2029-07-04,Independence Day,Independence Day,US,Public,True
2029-09-03,Labour Day,Labor Day,US,Public,True
2029-10-08,Columbus Day,Columbus Day,US,Public,False
2029-10-08,Indigenous Peoples' Day,Indigenous Peoples' Day,US,Public,False
2029-11-12,Veterans Day,Veterans Day,US,Public,True
2029-11-22,Thanksgiving Day,Thanksgiving Day,US,Public,True
2029-12-25,Christmas Day,Christmas Day,US,Public,True
2030-01-01,New Year's Day,New Year's Day,US,Public,True
2030-01-21,"Martin Luther King, Jr. Day","Martin Luther King, Jr. Day",US,Public,True
2030-02-12,Lincoln's Birthday,Lincoln's Birthday,US,Observance,False
2030-02-18,Presidents Day,Washington's Birthday,US,Public,True
2030-04-19,Good Friday,Good Friday,US,Public,False
2030-04-19,Good Friday,Good Friday,US,Optional,False
2030-05-08,Truman Day,Truman Day,US,School|Authorities,False
2030-05-27,Memorial Day,Memorial Day,US,Public,True
2030-06-19,Juneteenth National Independence Day,Juneteenth National Independence Day,US,Public,True
2030-07-04,Independence Day,Independence Day,US,Public,True
2030-09-02,Labour Day,Labor Day,US,Public,True
2030-10-14,Columbus Day,Columbus Day,US,Public,False
2030-10-14,Indigenous Peoples' Day,Indigenous Peoples' Day,US,Public,False
2030-11-11,Veterans Day,Veterans Day,US,Public,True
2030-11-28,Thanksgiving Day,Thanksgiving Day,US,Public,True
2030-12-25,Christmas Day,Christmas Day,US,Public,True
2031-01-01,New Year's Day,New Year's Day,US,Public,True
2031-01-20,"Martin Luther King, Jr. Day","Martin Luther King, Jr. Day",US,Public,True
2031-02-12,Lincoln's Birthday,Lincoln's Birthday,US,Observance,False
2031-02-17,Presidents Day,Washington's Birthday,US,Public,True
2031-04-11,Good Friday,Good Friday,US,Public,False
2031-04-11,Good Friday,Good Friday,US,Optional,False
2031-05-08,Truman Day,Truman Day,US,School|Authorities,False
2031-05-26,Memorial Day,Memorial Day,US,Public,True
2031-06-19,Juneteenth National Independence Day,Juneteenth National Independence Day,US,Public,True
2031-07-04,Independence Day,Independence Day,US,Public,True
2031-09-01,Labour Day,Labor Day,US,Public,True
2031-10-13,Columbus Day,Columbus Day,US,Public,False
2031-10-13,Indigenous Peoples' Day,Indigenous Peoples' Day,US,Public,False
2031-11-11,Veterans Day,Veterans Day,US,Public,True
2031-11-27,Thanksgiving Day,Thanksgiving Day,US,Public,True
2031-12-25,Christmas Day,Christmas Day,US,Public,True
