serial,digits,pattern_name,pattern_detail,ebay_title
53062905,53062905,BOOKENDS,5s at each end,Bookends Fancy Serial Number $1 Dollar Bill 53062905 2021
53062905,53062905,MULTIPLE PAIRS,2 pairs,Multiple Pairs Fancy Serial Number $1 Dollar Bill 53062905 2021
53062905,53062905,A1Z26 LETTER MAPPING,repaired=ECOFBIOE; ignore0=ECFBIE; zero_repairs=2,$1 Bill High-Signal Serial 53062905 2021
53062905,53062905,LEXICAL SIGNAL MATCHES,"words=[none]; names=[none]; brands=[none]; readable=[ECOFBI, ECOFB, COFBI, ECOF, COFB, OFBI]",$1 Bill High-Signal Serial 53062905 2021
53062905,53062905,HIGH-SIGNAL SCORE,36/100 (LOW) | lexical=23 pattern=14,$1 Bill High-Signal Serial 53062905 2021
44032992,44032992,MULTIPLE PAIRS,3 pairs,Multiple Pairs Fancy Serial Number $1 Dollar Bill 44032992 2021
44032992,44032992,A1Z26 LETTER MAPPING,repaired=DDOCBIIB; ignore0=DDCBIIB; zero_repairs=1,$1 Bill High-Signal Serial 44032992 2021
44032992,44032992,LEXICAL SIGNAL MATCHES,"words=[none]; names=[none]; brands=[none]; readable=[DOCBI, DDOC, DOCB, OCBI, BIIB, DDO]",$1 Bill High-Signal Serial 44032992 2021
44032992,44032992,HIGH-SIGNAL SCORE,34/100 (LOW) | lexical=22 pattern=12,$1 Bill High-Signal Serial 44032992 2021
83543349,83543349,FULL HOUSE,three 3s and two 4s,Full House Fancy Serial Number 83543349 $1 2021 One Dollar Bill
83543349,83543349,3 OF A KIND,3,3 Of A Kind 3s Fancy Serial Number $1 Dollar Bill 83543349 2021
83543349,83543349,MULTIPLE PAIRS,2 pairs,Multiple Pairs Fancy Serial Number $1 Dollar Bill 83543349 2021
83543349,83543349,A1Z26 LETTER MAPPING,repaired=HCEDCCDI; ignore0=HCEDCCDI; zero_repairs=0,$1 Bill High-Signal Serial 83543349 2021
83543349,83543349,LEXICAL SIGNAL MATCHES,"words=[none]; names=[none]; brands=[none]; readable=[HCED, CEDC, HCE, CED, EDC, CDI]",$1 Bill High-Signal Serial 83543349 2021
83543349,83543349,HIGH-SIGNAL SCORE,39/100 (LOW) | lexical=24 pattern=18,$1 Bill High-Signal Serial 83543349 2021
20120492,20120492,CELEBRITY BIRTHDAY DATASET MATCH,"December 20: 209 entries (e.g., Oronce Finé, John III, Paulus Melissus) [DDMMYYYY]",$1 Bill Date-Match Fancy Serial Number 20120492 2021
20120492,20120492,FULL HOUSE,three 2s and two 0s,Full House Fancy Serial Number 20120492 $1 2021 One Dollar Bill
20120492,20120492,3 OF A KIND,2,3 Of A Kind 2s Fancy Serial Number $1 Dollar Bill 20120492 2021
20120492,20120492,BOOKENDS,2s at each end,Bookends Fancy Serial Number $1 Dollar Bill 20120492 2021
20120492,20120492,MULTIPLE PAIRS,2 pairs,Multiple Pairs Fancy Serial Number $1 Dollar Bill 20120492 2021
20120492,20120492,A1Z26 LETTER MAPPING,repaired=BOABODIB; ignore0=BABDIB; zero_repairs=2,$1 Bill High-Signal Serial 20120492 2021
20120492,20120492,LEXICAL SIGNAL MATCHES,"words=[BOD]; names=[none]; brands=[none]; readable=[BOABOD, OABODI, ABODIB, BOABO, OABOD, ABODI]",$1 Bill High-Signal Serial 20120492 2021
20120492,20120492,HIGH-SIGNAL SCORE,51/100 (MEDIUM) | lexical=33 pattern=28,$1 Bill High-Signal Serial 20120492 2021
19286250,19286250,NO NOTABLE PATTERN,,Fancy Serial Number $1 Bill 19286250 2021
19286250,19286250,A1Z26 LETTER MAPPING,repaired=AIBHFBEO; ignore0=AIBHFBE; zero_repairs=1,$1 Bill High-Signal Serial 19286250 2021
19286250,19286250,LEXICAL SIGNAL MATCHES,"words=[none]; names=[none]; brands=[none]; readable=[AIB, IBH, FBE, BEO]",$1 Bill High-Signal Serial 19286250 2021
19286250,19286250,HIGH-SIGNAL SCORE,26/100 (LOW) | lexical=10 pattern=8,$1 Bill High-Signal Serial 19286250 2021
15892772,15892772,MULTIPLE PAIRS,2 pairs,Multiple Pairs Fancy Serial Number $1 Dollar Bill 15892772 2021
15892772,15892772,A1Z26 LETTER MAPPING,repaired=AEHIBGGB; ignore0=AEHIBGGB; zero_repairs=0,$1 Bill High-Signal Serial 15892772 2021
15892772,15892772,LEXICAL SIGNAL MATCHES,"words=[none]; names=[none]; brands=[none]; readable=[AEHIB, EHIBG, AEHI, EHIB, HIBG, AEH]",$1 Bill High-Signal Serial 15892772 2021
15892772,15892772,HIGH-SIGNAL SCORE,36/100 (LOW) | lexical=29 pattern=10,$1 Bill High-Signal Serial 15892772 2021
02090649,02090649,CELEBRITY BIRTHDAY DATASET MATCH,"February 09: 266 entries (e.g., Constantine XI Palaeologus, Ali-Shir Nava'i, Shimazu Yoshihisa) [MMDDYYYY]; September 02: 199 entries (e.g., Gilbert de Clare, Vincenzo Scamozzi, Georg Böhm) [DDMMYYYY]",$1 Bill Date-Match Fancy Serial Number 02090649 2021
02090649,02090649,FULL HOUSE,three 0s and two 9s,Full House Fancy Serial Number 02090649 $1 2021 One Dollar Bill
02090649,02090649,3 OF A KIND,0,3 Of A Kind 0s Fancy Serial Number $1 Dollar Bill 02090649 2021
02090649,02090649,MULTIPLE PAIRS,2 pairs,Multiple Pairs Fancy Serial Number $1 Dollar Bill 02090649 2021
02090649,02090649,A1Z26 LETTER MAPPING,repaired=OBOIOFDI; ignore0=BIFDI; zero_repairs=3,$1 Bill High-Signal Serial 02090649 2021
02090649,02090649,LEXICAL SIGNAL MATCHES,"words=[none]; names=[none]; brands=[none]; readable=[OBOI, OFDI, OBO, BOI, IOF, OFD]",$1 Bill High-Signal Serial 02090649 2021
02090649,02090649,HIGH-SIGNAL SCORE,39/100 (LOW) | lexical=14 pattern=24,$1 Bill High-Signal Serial 02090649 2021
30636409,30636409,MULTIPLE PAIRS,3 pairs,Multiple Pairs Fancy Serial Number $1 Dollar Bill 30636409 2021
30636409,30636409,A1Z26 LETTER MAPPING,repaired=COFCFDOI; ignore0=CFCFDI; zero_repairs=2,$1 Bill High-Signal Serial 30636409 2021
30636409,30636409,LEXICAL SIGNAL MATCHES,"words=[none]; names=[none]; brands=[none]; readable=[COFC, COF, OFC, FDO, DOI, CFCFDI]",$1 Bill High-Signal Serial 30636409 2021
30636409,30636409,HIGH-SIGNAL SCORE,32/100 (LOW) | lexical=17 pattern=12,$1 Bill High-Signal Serial 30636409 2021
39261656,39261656,3 OF A KIND,6,3 Of A Kind 6s Fancy Serial Number $1 Dollar Bill 39261656 2021
39261656,39261656,A1Z26 LETTER MAPPING,repaired=CIBFAFEF; ignore0=CIBFAFEF; zero_repairs=0,$1 Bill High-Signal Serial 39261656 2021
39261656,39261656,LEXICAL SIGNAL MATCHES,"words=[none]; names=[none]; brands=[none]; readable=[CIBFAF, IBFAFE, BFAFEF, CIBFA, IBFAF, BFAFE]",$1 Bill High-Signal Serial 39261656 2021
39261656,39261656,HIGH-SIGNAL SCORE,42/100 (MEDIUM) | lexical=34 pattern=16,$1 Bill High-Signal Serial 39261656 2021
40647799,40647799,MULTIPLE PAIRS,3 pairs,Multiple Pairs Fancy Serial Number $1 Dollar Bill 40647799 2021
40647799,40647799,A1Z26 LETTER MAPPING,repaired=DOFDGGII; ignore0=DFDGGII; zero_repairs=1,$1 Bill High-Signal Serial 40647799 2021
40647799,40647799,LEXICAL SIGNAL MATCHES,"words=[none]; names=[none]; brands=[none]; readable=[DOFD, DOF, OFD, GGI, GII]",$1 Bill High-Signal Serial 40647799 2021
40647799,40647799,HIGH-SIGNAL SCORE,30/100 (LOW) | lexical=14 pattern=12,$1 Bill High-Signal Serial 40647799 2021
14254063,14254063,NO NOTABLE PATTERN,,Fancy Serial Number $1 Bill 14254063 2021
14254063,14254063,A1Z26 LETTER MAPPING,repaired=ADBEDOFC; ignore0=ADBEDFC; zero_repairs=1,$1 Bill High-Signal Serial 14254063 2021
14254063,14254063,LEXICAL SIGNAL MATCHES,"words=[none]; names=[none]; brands=[none]; readable=[ADBEDO, DBEDOF, BEDOFC, ADBED, DBEDO, BEDOF]",$1 Bill High-Signal Serial 14254063 2021
14254063,14254063,HIGH-SIGNAL SCORE,34/100 (LOW) | lexical=28 pattern=8,$1 Bill High-Signal Serial 14254063 2021
09900159,09900159,3 OF A KIND,0,3 Of A Kind 0s Fancy Serial Number $1 Dollar Bill 09900159 2021
09900159,09900159,MULTIPLE PAIRS,2 pairs,Multiple Pairs Fancy Serial Number $1 Dollar Bill 09900159 2021
09900159,09900159,A1Z26 LETTER MAPPING,repaired=OIIOOAEI; ignore0=IIAEI; zero_repairs=3,$1 Bill High-Signal Serial 09900159 2021
09900159,09900159,LEXICAL SIGNAL MATCHES,words=[none]; names=[none]; brands=[none]; readable=[none],$1 Bill High-Signal Serial 09900159 2021
09900159,09900159,HIGH-SIGNAL SCORE,30/100 (LOW) | lexical=0 pattern=20,$1 Bill High-Signal Serial 09900159 2021
31576667,31576667,FULL HOUSE,three 6s and two 7s,Full House Fancy Serial Number 31576667 $1 2021 One Dollar Bill
31576667,31576667,3 IN A ROW,6,3 In A Row 6s  Fancy Serial Number $1 Bill 31576667 2021
31576667,31576667,MULTIPLE PAIRS,2 pairs,Multiple Pairs Fancy Serial Number $1 Dollar Bill 31576667 2021
31576667,31576667,A1Z26 LETTER MAPPING,repaired=CAEGFFFG; ignore0=CAEGFFFG; zero_repairs=0,$1 Bill High-Signal Serial 31576667 2021
31576667,31576667,LEXICAL SIGNAL MATCHES,"words=[none]; names=[none]; brands=[none]; readable=[CAEG, CAE, AEG, EGF]",$1 Bill High-Signal Serial 31576667 2021
31576667,31576667,HIGH-SIGNAL SCORE,36/100 (LOW) | lexical=17 pattern=18,$1 Bill High-Signal Serial 31576667 2021
29408472,29408472,BOOKENDS,2s at each end,Bookends Fancy Serial Number $1 Dollar Bill 29408472 2021
29408472,29408472,MULTIPLE PAIRS,2 pairs,Multiple Pairs Fancy Serial Number $1 Dollar Bill 29408472 2021
29408472,29408472,A1Z26 LETTER MAPPING,repaired=BIDOHDGB; ignore0=BIDHDGB; zero_repairs=1,$1 Bill High-Signal Serial 29408472 2021
29408472,29408472,LEXICAL SIGNAL MATCHES,"words=[none]; names=[none]; brands=[none]; readable=[BIDOHD, BIDOH, IDOHD, BIDO, IDOH, DOHD]",$1 Bill High-Signal Serial 29408472 2021
29408472,29408472,HIGH-SIGNAL SCORE,37/100 (LOW) | lexical=25 pattern=14,$1 Bill High-Signal Serial 29408472 2021
35717756,35717756,FULL HOUSE,three 7s and two 5s,Full House Fancy Serial Number 35717756 $1 2021 One Dollar Bill
35717756,35717756,3 OF A KIND,7,3 Of A Kind 7s Fancy Serial Number $1 Dollar Bill 35717756 2021
35717756,35717756,MULTIPLE PAIRS,2 pairs,Multiple Pairs Fancy Serial Number $1 Dollar Bill 35717756 2021
35717756,35717756,A1Z26 LETTER MAPPING,repaired=CEGAGGEF; ignore0=CEGAGGEF; zero_repairs=0,$1 Bill High-Signal Serial 35717756 2021
35717756,35717756,LEXICAL SIGNAL MATCHES,"words=[none]; names=[none]; brands=[none]; readable=[CEGAGG, EGAGGE, GAGGEF, CEGAG, EGAGG, GAGGE]",$1 Bill High-Signal Serial 35717756 2021
35717756,35717756,HIGH-SIGNAL SCORE,44/100 (MEDIUM) | lexical=34 pattern=18,$1 Bill High-Signal Serial 35717756 2021
02025958,02025958,CELEBRITY BIRTHDAY DATASET MATCH,"February 02: 255 entries (e.g., James I of Aragon ' James the Conqueror' (1213-..., John, Bona Sforza) [MMDDYYYY]",$1 Bill Date-Match Fancy Serial Number 02025958 2021
02025958,02025958,MULTIPLE PAIRS,3 pairs,Multiple Pairs Fancy Serial Number $1 Dollar Bill 02025958 2021
02025958,02025958,A1Z26 LETTER MAPPING,repaired=OBOBEIEH; ignore0=BBEIEH; zero_repairs=2,$1 Bill High-Signal Serial 02025958 2021
02025958,02025958,LEXICAL SIGNAL MATCHES,"words=[none]; names=[BOB]; brands=[none]; readable=[OBOBEI, OBOBE, BOBEI, OBOB, BOBE, OBEI]",$1 Bill High-Signal Serial 02025958 2021
02025958,02025958,HIGH-SIGNAL SCORE,42/100 (MEDIUM) | lexical=29 pattern=18,$1 Bill High-Signal Serial 02025958 2021
40982569,40982569,NO NOTABLE PATTERN,,Fancy Serial Number $1 Bill 40982569 2021
40982569,40982569,A1Z26 LETTER MAPPING,repaired=DOIHBEFI; ignore0=DIHBEFI; zero_repairs=1,$1 Bill High-Signal Serial 40982569 2021
40982569,40982569,LEXICAL SIGNAL MATCHES,"words=[none]; names=[none]; brands=[none]; readable=[IHBEFI, IHBEF, HBEFI, DOIH, IHBE, HBEF]",$1 Bill High-Signal Serial 40982569 2021
40982569,40982569,HIGH-SIGNAL SCORE,32/100 (LOW) | lexical=25 pattern=8,$1 Bill High-Signal Serial 40982569 2021
79124999,79124999,3 IN A ROW,9,3 In A Row 9s TRAILING Fancy Serial Number $1 Bill 79124999 2021
79124999,79124999,4 OF A KIND,9,4 Of A Kind 9s Fancy Serial Number $1 Dollar Bill 79124999 2021
79124999,79124999,MULTIPLE PAIRS,2 pairs,Multiple Pairs Fancy Serial Number $1 Dollar Bill 79124999 2021
79124999,79124999,A1Z26 LETTER MAPPING,repaired=GIABDIII; ignore0=GIABDIII; zero_repairs=0,$1 Bill High-Signal Serial 79124999 2021
79124999,79124999,LEXICAL SIGNAL MATCHES,"words=[none]; names=[GIA]; brands=[none]; readable=[GIAB, ABDI, GIA, IAB, ABD, BDI]",$1 Bill High-Signal Serial 79124999 2021
79124999,79124999,HIGH-SIGNAL SCORE,46/100 (MEDIUM) | lexical=30 pattern=24,$1 Bill High-Signal Serial 79124999 2021
14894770,14894770,MULTIPLE PAIRS,2 pairs,Multiple Pairs Fancy Serial Number $1 Dollar Bill 14894770 2021
14894770,14894770,A1Z26 LETTER MAPPING,repaired=ADHIDGGO; ignore0=ADHIDGG; zero_repairs=1,$1 Bill High-Signal Serial 14894770 2021
14894770,14894770,LEXICAL SIGNAL MATCHES,"words=[none]; names=[none]; brands=[none]; readable=[ADHID, ADHI, DHID, HIDG, ADH, DHI]",$1 Bill High-Signal Serial 14894770 2021
14894770,14894770,HIGH-SIGNAL SCORE,32/100 (LOW) | lexical=21 pattern=10,$1 Bill High-Signal Serial 14894770 2021
23569043,23569043,NO NOTABLE PATTERN,,Fancy Serial Number $1 Bill 23569043 2021
23569043,23569043,A1Z26 LETTER MAPPING,repaired=BCEFIODC; ignore0=BCEFIDC; zero_repairs=1,$1 Bill High-Signal Serial 23569043 2021
23569043,23569043,LEXICAL SIGNAL MATCHES,"words=[none]; names=[none]; brands=[none]; readable=[CEFIOD, BCEFI, CEFIO, EFIOD, BCEF, CEFI]",$1 Bill High-Signal Serial 23569043 2021
23569043,23569043,HIGH-SIGNAL SCORE,33/100 (LOW) | lexical=26 pattern=8,$1 Bill High-Signal Serial 23569043 2021
14952492,14952492,MULTIPLE PAIRS,3 pairs,Multiple Pairs Fancy Serial Number $1 Dollar Bill 14952492 2021
14952492,14952492,A1Z26 LETTER MAPPING,repaired=ADIEBDIB; ignore0=ADIEBDIB; zero_repairs=0,$1 Bill High-Signal Serial 14952492 2021
14952492,14952492,LEXICAL SIGNAL MATCHES,"words=[DIE]; names=[none]; brands=[none]; readable=[ADIEB, EBDIB, ADIE, DIEB, EBDI, BDIB]",$1 Bill High-Signal Serial 14952492 2021
14952492,14952492,HIGH-SIGNAL SCORE,41/100 (MEDIUM) | lexical=37 pattern=12,$1 Bill High-Signal Serial 14952492 2021
70201226,70201226,FULL HOUSE,three 2s and two 0s,Full House Fancy Serial Number 70201226 $1 2021 One Dollar Bill
70201226,70201226,3 OF A KIND,2,3 Of A Kind 2s Fancy Serial Number $1 Dollar Bill 70201226 2021
70201226,70201226,MULTIPLE PAIRS,2 pairs,Multiple Pairs Fancy Serial Number $1 Dollar Bill 70201226 2021
70201226,70201226,A1Z26 LETTER MAPPING,repaired=GOBOABBF; ignore0=GBABBF; zero_repairs=2,$1 Bill High-Signal Serial 70201226 2021
70201226,70201226,LEXICAL SIGNAL MATCHES,"words=[none]; names=[none]; brands=[none]; readable=[GOBOAB, GOBOA, OBOAB, GOBO, OBOA, BOAB]",$1 Bill High-Signal Serial 70201226 2021
70201226,70201226,HIGH-SIGNAL SCORE,39/100 (LOW) | lexical=23 pattern=18,$1 Bill High-Signal Serial 70201226 2021
43435095,43435095,MULTIPLE PAIRS,3 pairs,Multiple Pairs Fancy Serial Number $1 Dollar Bill 43435095 2021
43435095,43435095,A1Z26 LETTER MAPPING,repaired=DCDCEOIE; ignore0=DCDCEIE; zero_repairs=1,$1 Bill High-Signal Serial 43435095 2021
43435095,43435095,LEXICAL SIGNAL MATCHES,"words=[none]; names=[none]; brands=[none]; readable=[DCDCEO, DCDCE, DCE, CEO, DCDCEI, CEI]",$1 Bill High-Signal Serial 43435095 2021
43435095,43435095,HIGH-SIGNAL SCORE,34/100 (LOW) | lexical=22 pattern=12,$1 Bill High-Signal Serial 43435095 2021
90406960,90406960,FULL HOUSE,three 0s and two 9s,Full House Fancy Serial Number 90406960 $1 2021 One Dollar Bill
90406960,90406960,3 OF A KIND,0,3 Of A Kind 0s Fancy Serial Number $1 Dollar Bill 90406960 2021
90406960,90406960,MULTIPLE PAIRS,3 pairs,Multiple Pairs Fancy Serial Number $1 Dollar Bill 90406960 2021
90406960,90406960,A1Z26 LETTER MAPPING,repaired=IODOFIFO; ignore0=IDFIF; zero_repairs=3,$1 Bill High-Signal Serial 90406960 2021
90406960,90406960,LEXICAL SIGNAL MATCHES,"words=[none]; names=[none]; brands=[none]; readable=[IODOFI, ODOFIF, DOFIFO, IODOF, ODOFI, DOFIF]",$1 Bill High-Signal Serial 90406960 2021
90406960,90406960,HIGH-SIGNAL SCORE,41/100 (MEDIUM) | lexical=24 pattern=20,$1 Bill High-Signal Serial 90406960 2021
42622455,42622455,FULL HOUSE,three 2s and two 4s,Full House Fancy Serial Number 42622455 $1 2021 One Dollar Bill
42622455,42622455,3 OF A KIND,2,3 Of A Kind 2s Fancy Serial Number $1 Dollar Bill 42622455 2021
42622455,42622455,MULTIPLE PAIRS,3 pairs,Multiple Pairs Fancy Serial Number $1 Dollar Bill 42622455 2021
42622455,42622455,A1Z26 LETTER MAPPING,repaired=DBFBBDEE; ignore0=DBFBBDEE; zero_repairs=0,$1 Bill High-Signal Serial 42622455 2021
42622455,42622455,LEXICAL SIGNAL MATCHES,"words=[none]; names=[DEE]; brands=[none]; readable=[BDE, DEE]",$1 Bill High-Signal Serial 42622455 2021
42622455,42622455,HIGH-SIGNAL SCORE,37/100 (LOW) | lexical=16 pattern=20,$1 Bill High-Signal Serial 42622455 2021
11137215,11137215,CELEBRITY BIRTHDAY DATASET MATCH,"November 13: 218 entries (e.g., Augustine of Hippo, Johann Eck, Philip I (the Generous)) [MMDDYYYY]",$1 Bill Date-Match Fancy Serial Number 11137215 2021
11137215,11137215,3 IN A ROW,1,3 In A Row 1s LEADING Fancy Serial Number $1 Bill 11137215 2021
11137215,11137215,4 OF A KIND,1,4 Of A Kind 1s Fancy Serial Number $1 Dollar Bill 11137215 2021
11137215,11137215,MULTIPLE PAIRS,2 pairs,Multiple Pairs Fancy Serial Number $1 Dollar Bill 11137215 2021
11137215,11137215,A1Z26 LETTER MAPPING,repaired=AAACGBAE; ignore0=AAACGBAE; zero_repairs=0,$1 Bill High-Signal Serial 11137215 2021
11137215,11137215,LEXICAL SIGNAL MATCHES,"words=[none]; names=[none]; brands=[none]; readable=[AAC, ACG, GBA, BAE]",$1 Bill High-Signal Serial 11137215 2021
11137215,11137215,HIGH-SIGNAL SCORE,45/100 (MEDIUM) | lexical=16 pattern=30,$1 Bill High-Signal Serial 11137215 2021
